Episode,Value
1,16
2,32
3,80
4,84
5,62
6,134
7,155
8,87
9,97
10,100
11,160
12,92
13,114
14,129
15,174
16,122
17,106
18,148
19,158
20,182
21,149
22,204
23,176
24,185
25,156
26,146
27,156
28,164
29,161
30,176
31,198
32,200
33,155
34,196
35,197
36,199
37,201
38,181
39,182
40,185
41,197
42,197
43,195
44,203
45,190
46,208
47,192
48,204
49,153
50,204
51,205
52,202
53,175
54,179
55,196
56,196
57,205
58,205
59,180
60,200
61,205
62,152
63,205
64,181
65,202
66,202
67,185
68,199
69,202
70,197
71,205
72,200
73,203
74,200
75,197
76,201
77,200
78,201
79,205
80,204
81,203
82,180
83,205
84,197
85,204
86,201
87,204
88,205
89,201
90,204
91,157
92,204
93,184
94,203
95,199
96,199
97,202
98,203
99,202
100,176
101,190
102,202
103,203
104,182
105,205
106,200
107,203
108,202
109,201
110,201
111,198
112,202
113,203
114,199
115,203
116,203
117,204
118,184
119,203
120,205
121,179
122,201
123,200
124,204
125,203
126,204
127,205
128,205
129,204
130,205
131,202
132,200
133,205
134,203
135,203
136,203
137,200
138,204
139,206
140,194
141,203
142,205
143,201
144,205
145,201
146,203
147,199
148,204
149,199
150,205
151,206
152,203
153,206
154,203
155,202
156,207
157,203
158,195
159,203
160,201
161,193
162,205
163,185
164,203
165,206
166,202
167,204
168,181
169,205
170,205
171,205
172,203
173,206
174,201
175,205
176,204
177,205
178,181
179,183
180,205
181,204
182,197
183,204
184,206
185,202
186,203
187,205
188,205
189,203
190,205
191,204
192,205
193,182
194,206
195,203
196,206
197,204
198,206
199,205
200,206
201,206
202,201
203,206
204,206
205,205
206,175
207,206
208,206
209,205
210,206
211,205
212,206
213,203
214,204
215,206
216,207
217,180
218,206
219,202
220,206
221,205
222,205
223,206
224,206
225,206
226,205
227,206
228,206
229,206
230,206
231,206
232,206
233,206
234,206
235,205
236,205
237,204
238,204
239,206
240,206
241,206
242,205
243,205
244,206
245,205
246,206
247,205
248,205
249,205
250,205
251,205
252,204
253,204
254,205
255,205
256,206
257,206
258,204
259,206
260,205
261,202
262,206
263,206
264,206
265,206
266,205
267,205
268,161
269,205
270,206
271,206
272,206
273,205
274,205
275,206
276,204
277,206
278,205
279,204
280,205
281,205
282,206
283,206
284,206
285,206
286,204
287,206
288,205
289,206
290,206
291,206
292,206
293,205
294,206
295,203
296,204
297,206
298,205
299,206
300,204
301,206
302,206
303,206
304,206
305,206
306,206
307,206
308,205
309,206
310,202
311,206
312,206
313,205
314,206
315,204
316,206
317,206
318,206
319,206
320,207
321,207
322,206
323,206
324,205
325,206
326,206
327,206
328,204
329,205
330,207
331,206
332,206
333,206
334,205
335,206
336,204
337,206
338,205
339,205
340,206
341,205
342,206
343,205
344,205
345,207
346,206
347,206
348,204
349,206
350,206
351,206
352,203
353,205
354,206
355,204
356,206
357,206
358,206
359,206
360,207
361,206
362,206
363,206
364,206
365,205
366,206
367,206
368,206
369,207
370,205
371,206
372,206
373,206
374,206
375,206
376,206
377,206
378,206
379,206
380,206
381,205
382,206
383,206
384,206
385,206
386,206
387,206
388,205
389,206
390,205
391,206
392,206
393,206
394,206
395,206
396,206
397,205
398,206
399,206
400,205
401,206
402,206
403,206
404,206
405,206
406,205
407,205
408,203
409,205
410,206
411,205
412,206
413,206
414,206
415,206
416,205
417,206
418,206
419,206
420,207
421,206
422,206
423,206
424,206
425,206
426,206
427,206
428,206
429,206
430,206
431,206
432,206
433,206
434,206
435,206
436,206
437,206
438,206
439,206
440,206
441,205
442,206
443,206
444,205
445,206
446,206
447,206
448,206
449,206
450,206
451,206
452,206
453,206
454,206
455,206
456,205
457,206
458,206
459,206
460,206
461,206
462,206
463,205
464,206
465,206
466,206
467,206
468,206
469,206
470,206
471,206
472,206
473,206
474,206
475,206
476,206
477,206
478,206
479,206
480,206
481,206
482,206
483,206
484,206
485,203
486,206
487,206
488,206
489,206
490,206
491,206
492,206
493,205
494,206
495,206
496,206
497,206
498,206
499,206
500,206
