Time Of Day,Set1,Set2,Set3,Set4,Set5
6/16/2024 0:00,0,-24.28125,-13.78146,-26.57823,-31.5
6/16/2024 0:30,-13.78104,-12.14073,-37.89828,-27.97263,0
6/16/2024 1:00,0,-12.14052,10.33578,0,0
6/16/2024 1:30,-13.78146,12.14052,-13.78104,-32.23815,-53.15625
6/16/2024 2:00,-27.5625,-24.28125,-27.5625,-32.23836,-53.15625
6/16/2024 2:30,-13.78104,-12.14052,0,-65.05086,-26.57823
6/16/2024 3:00,-27.5625,0,-27.5625,0,0
6/16/2024 3:30,-27.5625,-31.5,-26.74224,-34.37112,-92.44914
6/16/2024 4:00,13.78104,-26.57823,12.96078,-68.74203,32.23836
6/16/2024 4:30,-13.78104,-19.93362,-25.10151,-32.32047,-32.23836
6/16/2024 5:00,-26.74224,19.93362,-12.14052,0,-65.05086
6/16/2024 5:30,0,-53.15625,0,-60.53901,-68.74224
6/16/2024 6:00,-24.28125,-26.57802,-12.14073,-96.63276,0
6/16/2024 6:30,-12.14073,-26.57823,-12.14052,0,0
6/16/2024 7:00,0,26.57823,-24.28125,-36.09375,0
6/16/2024 7:30,-12.14052,-86.78901,0,-72.1875,0
6/16/2024 8:00,0,0,0,-72.1875,0
6/16/2024 8:30,0,-32.23836,24.28125,0,0
6/16/2024 9:00,-21.24612,-32.23836,-12.14073,-36.09375,36.09375
6/16/2024 9:30,9.10539,-32.8125,-12.14052,-36.09375,-36.09375
6/16/2024 10:00,12.14073,-34.37112,36.42177,288.75,422.13276
6/16/2024 10:30,0,0,104.50776,60.53901,81.12888
6/16/2024 11:00,-36.42198,225.09375,-41.34354,195.97263,99.09375
6/16/2024 11:30,12.14073,143.30862,0,32.8125,0
6/16/2024 12:00,0,-96.79677,-13.78146,96.71487,24.28125
6/16/2024 12:30,-24.28125,108.9375,-25.10151,192.36336,12.14073
6/16/2024 13:00,0,84.98427,12.14073,36.42177,24.28125
6/16/2024 13:30,24.28125,12.14073,-24.28125,-36.42177,24.28125
6/16/2024 14:00,-21.24612,3.03513,12.14052,0,102.86724
6/16/2024 14:30,21.24612,23.70711,-36.42177,72.84375,-13.78146
6/16/2024 15:00,51.59763,55.125,12.14052,-24.28125,96.46896
6/16/2024 15:30,9.10539,55.125,-24.28125,0,-41.34396
6/16/2024 16:00,0,27.48039,0,24.28125,96.22284
6/16/2024 16:30,12.14073,44.54289,-12.14052,24.28125,27.39828
6/16/2024 17:00,26.74224,92.44935,24.28125,-24.28125,-27.39828
6/16/2024 17:30,13.78104,-27.39849,-24.28125,24.28125,0
6/16/2024 18:00,-37.48815,0,-21.24612,-24.28125,-27.39849
6/16/2024 18:30,-3.03513,-13.69914,-3.03513,0,0
6/16/2024 19:00,0,0,0,-24.28125,-27.48039
6/16/2024 19:30,0,0,-24.28125,-12.14073,0
6/16/2024 20:00,-24.28125,-13.69935,0,-12.14052,-27.5625
6/16/2024 20:30,-24.3,-6.84978,,,
6/16/2024 21:00,0,-6.849843,0,0,0
6/16/2024 21:30,-36.42198,-6.849906,-12.14073,-24.28125,0
6/16/2024 22:00,12.14073,-6.849969,-19.35927,0,0
6/16/2024 22:30,0,-18.26559,0,0,0
6/16/2024 23:00,0,0,-53.15625,0,0
6/16/2024 23:30,0,-27.48039,-53.15625,0,0
